# x y u(x,y) v(x,y)
-0.96 -0.36 0.0619714 4.51386e-05
-0.96 -0.35 0.0654716 4.81204e-05
-0.96 -0.34 0.0688718 5.10538e-05
-0.96 -0.33 0.072172 5.39358e-05
-0.96 -0.32 0.0753722 5.67637e-05
-0.96 -0.31 0.0784725 5.95346e-05
-0.96 -0.3 0.0814727 6.2246e-05
-0.96 -0.29 0.084373 6.48952e-05
-0.96 -0.28 0.0871732 6.74795e-05
-0.96 -0.27 0.0898735 6.99966e-05
-0.96 -0.26 0.0924738 7.24438e-05
-0.96 -0.25 0.0949741 7.48189e-05
-0.96 -0.24 0.0973744 7.71196e-05
-0.96 -0.23 0.0996747 7.93435e-05
-0.96 -0.22 0.101875 8.14886e-05
-0.96 -0.21 0.103975 8.35528e-05
-0.96 -0.2 0.105976 8.5534e-05
-0.96 -0.19 0.107876 8.74303e-05
-0.96 -0.18 0.109676 8.92399e-05
-0.96 -0.17 0.111377 9.0961e-05
-0.96 -0.16 0.112977 9.2592e-05
-0.96 -0.15 0.114478 9.41313e-05
-0.96 -0.14 0.115878 9.55773e-05
-0.96 -0.13 0.117178 9.69288e-05
-0.96 -0.12 0.118379 9.81843e-05
-0.96 -0.11 0.119479 9.93426e-05
-0.96 -0.1 0.120479 0.000100403
-0.96 -0.09 0.12138 0.000101364
-0.96 -0.08 0.12218 0.000102224
-0.96 -0.07 0.122881 0.000102984
-0.96 -0.06 0.123481 0.000103642
-0.96 -0.05 0.123982 0.000104197
-0.96 -0.04 0.124382 0.000104649
-0.96 -0.03 0.124682 0.000104999
-0.96 -0.02 0.124883 0.000105244
-0.96 -0.01 0.124983 0.000105386
-0.96 0 0.124984 0.000105423
-0.96 0.01 0.124884 0.000105357
-0.96 0.02 0.124684 0.000105186
-0.96 0.03 0.124385 0.000104912
-0.96 0.04 0.123985 0.000104535
-0.96 0.05 0.123486 0.000104054
-0.96 0.06 0.122886 0.000103471
-0.96 0.07 0.122186 0.000102785
-0.96 0.08 0.121387 0.000101999
-0.96 0.09 0.120487 0.000101112
-0.96 0.1 0.119488 0.000100125
-0.96 0.11 0.118388 9.904e-05
-0.96 0.12 0.117188 9.78573e-05
-0.96 0.13 0.115889 9.65782e-05
-0.96 0.14 0.114489 9.52041e-05
-0.96 0.15 0.11299 9.37363e-05
-0.96 0.16 0.11139 9.21764e-05
-0.96 0.17 0.10969 9.05258e-05
-0.96 0.18 0.107891 8.87863e-05
-0.96 0.19 0.105991 8.69596e-05
-0.96 0.2 0.103991 8.50474e-05
-0.96 0.21 0.101892 8.30518e-05
-0.96 0.22 0.099692 8.09748e-05
-0.96 0.23 0.0973923 7.88183e-05
-0.96 0.24 0.0949926 7.65846e-05
-0.96 0.25 0.0924929 7.42759e-05
-0.96 0.26 0.0898932 7.18945e-05
-0.96 0.27 0.0871934 6.94428e-05
-0.96 0.28 0.0843937 6.69232e-05
-0.96 0.29 0.0814939 6.43383e-05
-0.96 0.3 0.0784942 6.16906e-05
-0.96 0.31 0.0753944 5.89829e-05
-0.96 0.32 0.0721946 5.62177e-05
-0.96 0.33 0.0688948 5.33979e-05
-0.96 0.34 0.065495 5.05264e-05
-0.96 0.35 0.0619952 4.76058e-05
-0.96 0.36 0.0583954 4.46393e-05
-0.96 0.37 0.0546956 4.16297e-05
-0.96 0.38 0.0508957 3.858e-05
-0.96 0.39 0.0469958 3.54934e-05
-0.96 0.4 0.042996 3.23728e-05
-0.96 0.41 0.0388961 2.92215e-05
-0.96 0.42 0.0346962 2.60425e-05
-0.96 0.43 0.0303963 2.2839e-05
-0.96 0.44 0.0259963 1.96142e-05
